Make,Model,Build Year,Engine Size,Transmission,Mileage [km],Fuel,Fuel efficiency,Price [EUR]
Audi,A1,2014,1.6,Manual,39845,Diesel,74.3,11995
Audi,A1,2014,1.4,Manual,42061,Petrol,53.3,11995
Audi,A5,2020,2,Semi-Auto,12119,Petrol,39.2,37331
Audi,A5,2020,2,Semi-Auto,12751,Diesel,45.6,39454
Audi,A5,2020,2,Semi-Auto,12291,Petrol,39.8,37507
Audi,Q3,2020,2,Semi-Auto,12734,Diesel,48.7,33462
Audi,Q5,2018,2,Semi-Auto,25271,Petrol,40.4,30995
Audi,A4,2019,2,Manual,7398,Petrol,38.2,25990
Audi,A8,2018,3,Semi-Auto,10600,Diesel,48.7,38995
Audi,Q7,2016,3,Semi-Auto,77631,Diesel,47.9,31995
Audi,A3,2019,2,Semi-Auto,7319,Petrol,34.5,30995
Audi,A1,2019,1,Manual,12170,Petrol,51.4,18995
Audi,A8,2018,3,Semi-Auto,18143,Diesel,48.7,41995
Audi,A4,2016,2,Manual,32407,Diesel,67.3,19995
Audi,A3,2016,1.4,Manual,26637,Petrol,60.1,16995
Audi,A1,2017,1,Manual,13850,Petrol,67.3,14495
Audi,Q3,2017,1.4,Manual,29573,Petrol,49.6,19995
Audi,Q3,2017,2,Semi-Auto,43662,Petrol,40.4,23995
Audi,A3,2016,1.4,Manual,58582,Petrol,60.1,13995
Audi,A6,2017,3,Semi-Auto,56667,Diesel,50.4,27995
Audi,Q5,2018,2,Semi-Auto,16495,Petrol,40.4,33995
Audi,A3,2018,1.6,Manual,26355,Diesel,67.3,17490
Audi,A3,2015,2,Semi-Auto,49123,Diesel,64.2,14990
Audi,Q5,2016,3,Semi-Auto,59741,Diesel,42.2,30995
Audi,A3,2017,1.4,Manual,58568,Petrol,61.4,13995
Audi,Q7,2018,3,Semi-Auto,13866,Diesel,32.8,47995
Audi,Q2,2018,1.4,Manual,15501,Petrol,50.4,21995
Audi,Q2,2017,1.6,Semi-Auto,29533,Diesel,68.9,19995
Audi,Q5,2017,2,Semi-Auto,46024,Petrol,40.9,26995
Audi,A1,2017,1.6,Manual,24436,Diesel,76.3,15995
Audi,A5,2015,2,Semi-Auto,69858,Diesel,50.4,18990
Audi,A8,2018,3,Semi-Auto,19622,Diesel,50.4,35995
Audi,A5,2018,3,Semi-Auto,20412,Diesel,58.9,27995
Audi,A1,2019,1.5,Semi-Auto,8618,Petrol,44.1,23995
Audi,A4,2020,2,Semi-Auto,12812,Petrol,41.5,31265
Audi,A5,2020,2,Semi-Auto,11944,Diesel,51.4,36312
Audi,A1,2017,1,Manual,19546,Petrol,67.3,13995
Audi,Q5,2016,3,Semi-Auto,71641,Diesel,42.2,31995
